Country,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,1978463,2094581,2519954,2821540,3501422,3133645,3113826,2856896,2764855,2603238,2427366,1379462,1333055,1281602,1230463,1164920,1084127,1029157,809512,757672,797962,1051609,1185951,889167,1303267,1635378,2268605,4199530,6739976,8397779,12105788,10218514,8440766,7774340,7904133,6744628,6859825,8344829,12146674,12160286
Albania,7335328,7302352,7624784,7818976,7873936,8049808,7437920,7320672,8976800,5444704,4228256,2495184,2315648,1912608,2066496,1993216,1531552,1744064,2975168,3004480,3220656,3748272,4231920,4103680,4198944,3843536,3828880,4272224,4253904,4448096,5030672,4667936,4928080,5620576,4495728,4492064,5301808,4733888,4863450,4534673
Algeria,46341982,39173029,52503909,70946530,72609068,76080388,83883502,83708041,79808266,76737628,78806834,79883305,81943970,86147476,94981417,96786277,87004706,106621010,91668212,82221010,83780203,89406933,91048404,87853359,106472836,100202857,108401946,109031978,120184849,117813010,119807538,128110556,132435012,142528719,149682942,148928670,154935572,161486543,166641950,154995460
Angola,5266774,4635179,5100535,4985847,4676114,4633840,5786029,5049306,4922750,5089864,5064054,5164449,5748389,3864521,10948907,10423993,7347664,7268420,9130235,9516064,9670938,12598124,8988970,18700613,19005991,22101650,24977271,25486267,27564973,28864503,30329742,33800624,33228583,33296311,33621246,31403799,28420359,24375801,23486822,22198161
Argentina,101968542,103351137,105142036,106451701,100531216,104150065,114877229,121404742,117020422,112079088,117505744,121230584,117777485,122229002,127764859,134762070,137641464,139451896,147285131,142358347,134003944,124392348,134631008,157043391,161434200,174608992,174245760,188106000,178949200,186733136,190273774,191714848,190133373,188657102,192405960,190977194,187804729,181099627,167565587,156978063
Armenia,7878212,8027958,8147766,8224408,8862305,8439309,8369284,9425002,9522964,8962251,7288292,5862939,2575039,2713342,3433180,2595440,3269238,3397212,3049535,3491407,3532701,3076793,3455560,3691197,4376169,4401590,5100210,5574790,4363332,4252750,4968878,5748252,5535004,5604113,5469323,5203013,5536589,5825786,5528755,5890292
Aruba,557625,623468,320425,800142,936532,179536,447008,611888,648528,487312,531280,538608,648528,659520,707152,725472,758448,806080,809744,2377936,2407248,2436560,2561136,2616096,2718688,2715024,2821280,2656400,2627088,2506176,2498848,1348352,861040,872032,897680,883024,890352,872032,851153,753218
Austria,55832893,53565287,51668238,54214049,54366320,53728532,57373914,52937221,53696289,62140063,65738192,60236456,60660781,61034437,64011231,67355343,67252097,66886986,65639881,66138790,70138688,71942960,77450503,77667970,79067961,76796491,74096973,73472267,67290760,72000290,69888739,67263274,67758606,64160937,66351619,67215457,69598854,66565408,67962416,60634876
Azerbaijan,45370983,46230128,46897384,47323226,51021362,53134302,50437710,51327001,51372229,51380396,50033976,56174400,48406098,41943904,33309350,31242309,29802216,31665754,28569828,29506320,28791317,29640751,30623566,32077061,34286420,39108582,30459078,35449751,31856400,30632888,32975696,35048364,35214656,36974615,36988776,37054721,36729864,36847258,38725131,37720462
Bahamas,2798440,2258485,2014374,1853984,1509568,1410640,1421632,1538880,1945584,2022528,1996880,1868640,1744064,1769712,1839328,1813680,1608496,1989552,2033520,2026192,1945584,2037184,2070160,2048176,1905280,1853984,1872304,1916272,1949248,1901616,2114128,2311984,2704032,2429232,2136112,1978560,2095808,2700368,2637810,2337684
Bahrain,8518800,9830512,8222016,9200304,10185920,11002992,11420688,12142559,11716746,12405777,11856551,10873574,14608586,14754455,14786477,15589977,17288859,18366355,17988735,18794084,14077837,15868013,16769491,17883505,19804053,19421150,26771124,29681318,28098071,29075435,28467646,27018877,30999524,30817608,32470072,31372822,32591220,32609540,34439053,34960075
Bangladesh,7886136,8552288,8188282,9077160,10189161,11405807,11799727,13478441,13382363,14081596,14741983,15379904,16062897,17538015,21041714,21492816,23125868,23197800,25074988,26524611,31034909,31981243,33459295,35945411,37676581,41689168,42642128,45300872,49148072,53991553,56556344,60691320,61781665,65978638,73277248,76477097,80943513,82599936,94215024,92841625
Barbados,685168,644864,685168,746995,845711,915407,941049,944787,988686,1070082,1201999,973443,1100542,738502,806635,822512,888236,1099459,1162451,1151592,1186226,1199568,1245266,1269520,1319152,1342800,1362784,1612264,1597148,1464008,1516527,1459119,1437240,1261185,1261368,1283352,1169768,1235544,1215299,1086743
Belarus,94986895,96755378,98119538,98965496,106659434,121012521,111652312,114304647,108837767,103757549,96780435,88858780,76555041,62505113,57507956,58376632,58919638,57396426,54902271,54706238,54770371,54583388,56105032,59800556,61126616,63934085,63302926,65439253,61044579,62774838,61628921,62674221,63237300,62608774,58037502,59851417,60115689,60961760,61022455,57445417
